PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-10-23,16:26:03.53,1,1,"Cruce, Riley",1000148331,Left,MER_BEA,"Dalley, Ty",702675,Right,MER_BEA,Undefined,1,Top,0,0,0,TwoSeamFastBall,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.26388,-0.955694,4.284481,1949.319202,118.225068,10:00,5.78291,-2.18293,5.05214,-28.17029,10.89953,-17.85627,2.53138,0.37765,78.50757,-6.13149,1.138911,0.449875,,,,,,,,,,,,10.05607,6.06906,1.78897,50,5.66958,-8.53386,-124.78264,-3.12367,15.80645,25.83201,-22.63448,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20241023-MercerUniversity-Private-1,09476c70-917d-11ef-b117-dfd06c225c3a,83.78417,,,7.75631,,,,,,,966f06ce-4947-458e-b1eb-8d1c1ab0c1b5,2024-10-23,20:26:03.53,2024-10-23T16:26:03.5343164-04:00,2024-10-23T20:26:03.5343164Z,,v3,471354,471354,,"Norton, Cade",10057502,Right,MER_BEA,c23a0357-0a0c-4252-98bf-18fbda4d2d1a,55.44843,-125.9055,12.916,5.78398,-2.1398,-11.31724,2.17485,-9.22093,7.90322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-10-23,16:26:18.38,1,2,"Cruce, Riley",1000148331,Left,MER_BEA,"Dalley, Ty",702675,Right,MER_BEA,Undefined,1,Top,0,0,1,ChangeUp,Slider,InPlay,Undefined,FlyBall,Out,1,0,,77.66568,0.218141,2.500537,2283.66455,256.638238,2:30,5.73602,-2.42835,4.92102,-43.95432,4.06146,10.96721,2.27961,0.85127,71.58688,-7.721926,4.431037,0.498728,85.34031,32.751407,-6.525394,,108.26641,63.33556,-19.45032,305.25801,298.01939,-16.003915,4.791907,-4.77422,2.34937,2.17459,50,5.7206,-5.36071,-112.62713,-1.11652,-6.14149,20.16999,-29.15184,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20241023-MercerUniversity-Private-1,122c3000-917d-11ef-b117-dfd06c225c3a,75.57721,77.95166,,6.0788,,,,1.13247,2.34035,-0.86507,966f06ce-4947-458e-b1eb-8d1c1ab0c1b5,2024-10-23,20:26:18.38,2024-10-23T16:26:18.3819068-04:00,2024-10-23T20:26:18.3819068Z,FlyBall,v3,471354,471354,,"Norton, Cade",10057502,Right,MER_BEA,1e7f0e61-0077-4195-9613-fef30e67a9e6,55.58155,-113.62231,10.085,5.7402,0.32182,-14.57592,2.43161,-5.05769,-3.07074,159.273391,1.13356,104.56243,-21.32476,5.10467,-0.99281,0.18335,-0.03313,0.00428,-0.00024,2.34135,67.68851,-16.1153,0.24438,0.31058,-0.19286,0.05566,-0.00775,0.00042,-0.86492,-11.9663,-2.72712,0.67353,-0.13256,0.02399,-0.00414,0.00052,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2024-10-23,16:26:57.07,2,1,"Cruce, Riley",1000148331,Left,MER_BEA,"Frye, Bradley",1000077438,Right,MER_BEA,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.96394,0.340174,2.936856,1713.673306,83.320668,8:45,5.50174,-2.33083,5.37138,-47.24731,-0.21248,-14.75269,1.88384,-0.80418,71.47551,-8.268375,0.314027,0.493607,,,,,,,,,,,,8.21981,0.27835,2.07798,50,5.49885,-5.2148,-113.06196,-0.93486,10.61455,21.07053,-31.81463,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20241023-MercerUniversity-Private-1,293d56c0-917d-11ef-b117-dfd06c225c3a,76.36126,,,6.48843,,,,,,,966f06ce-4947-458e-b1eb-8d1c1ab0c1b5,2024-10-23,20:26:57.07,2024-10-23T16:26:57.0777404-04:00,2024-10-23T20:26:57.0777404Z,,v3,471354,471354,,"Norton, Cade",10057502,Right,MER_BEA,54c7bf75-5b7f-4d1d-bc97-2f6443b85bd0,55.13077,-114.01413,10.53527,5.50861,0.50284,-15.90731,2.32448,-5.69447,5.30727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-10-23,16:27:14.53,2,2,"Cruce, Riley",1000148331,Left,MER_BEA,"Frye, Bradley",1000077438,Right,MER_BEA,Undefined,1,Top,1,1,0,TwoSeamFastBall,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.04207,-1.065213,2.621925,2010.624759,104.137185,9:30,5.8627,-2.14929,5.16615,-32.60356,5.48693,-16.78851,2.142,-1.07887,79.44486,-7.021846,-0.351583,0.444201,,,,,,,,,,,,9.09886,3.4265,1.91794,50,5.73851,-5.01569,-126.1557,-3.58537,14.60863,26.56324,-26.67268,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20241023-MercerUniversity-Private-1,339a8980-917d-11ef-b117-dfd06c225c3a,84.85447,,,7.59721,,,,,,,966f06ce-4947-458e-b1eb-8d1c1ab0c1b5,2024-10-23,20:27:14.53,2024-10-23T16:27:14.5374012-04:00,2024-10-23T20:27:14.5374012Z,,v3,471354,471354,,"Norton, Cade",10057502,Right,MER_BEA,06c473c2-c4fd-48fa-871e-a30874c3ef25,55.33494,-127.27406,13.28162,5.86582,-2.4624,-13.33634,2.14206,-5.63074,7.30431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-10-23,16:27:33.77,2,3,"Cruce, Riley",1000148331,Left,MER_BEA,"Frye, Bradley",1000077438,Right,MER_BEA,Undefined,1,Top,1,2,0,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,77.9899,0.401612,2.992695,1701.221161,108.579932,9:30,5.46674,-2.32491,5.38171,-40.5136,6.2574,-14.3091,2.46761,-0.70934,71.65408,-7.014057,0.451018,0.492221,100.74739,8.800831,-4.354696,3561.079272,109.87336,10.59802,-5.27263,192.48477,192.48477,-2.239979,1.606999,8.03969,3.44331,2.06751,50,5.47399,-5.36164,-113.14221,-0.53894,10.44832,20.14406,-27.69916,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20241023-MercerUniversity-Private-1,3f15fd80-917d-11ef-b117-dfd06c225c3a,76.57631,10.73366,,6.33582,,,,1.30623,2.46233,0.73871,966f06ce-4947-458e-b1eb-8d1c1ab0c1b5,2024-10-23,20:27:33.77,2024-10-23T16:27:33.7712956-04:00,2024-10-23T20:27:33.7712956Z,LineDrive,v3,471354,471354,,"Norton, Cade",10057502,Right,MER_BEA,44c9c0a9-9716-4620-9250-20632424dade,55.12102,-114.05032,10.07203,5.47013,0.70976,-13.84958,2.31984,-5.83266,5.22416,229.608232,1.30624,145.60071,-22.76571,5.00343,-0.71258,-0.28175,0.31764,-0.1241,0.0183,2.46232,22.60851,-15.80037,0.59065,-0.42883,0.67276,-0.51214,0.18999,-0.02765,0.7387,-11.08673,6.22985,-2.17166,0.13526,0.59343,-0.52059,0.19769,-0.02898,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2024-10-23,16:28:18.77,3,1,"Cruce, Riley",1000148331,Left,MER_BEA,"Lester, Parker",1000077785,Left,MER_BEA,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.77043,2.096534,0.427458,2275.019496,278.246286,3:15,5.57626,-2.24781,4.97246,-47.01928,0.3122,6.91914,3.63926,-1.26744,71.96151,-6.403446,1.648201,0.495161,,,,,,,,,,,,-3.31681,0.05417,2.20056,50,5.74019,-1.12537,-112.93058,2.45388,-4.33246,18.35752,-32.10329,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20241023-MercerUniversity-Private-1,59ee8c80-917d-11ef-b117-dfd06c225c3a,76.12157,,,5.80891,,,,,,,966f06ce-4947-458e-b1eb-8d1c1ab0c1b5,2024-10-23,20:28:18.77,2024-10-23T16:28:18.7732284-04:00,2024-10-23T20:28:18.7732284Z,,v3,471354,471354,,"Norton, Cade",10057502,Right,MER_BEA,189f125f-ffe9-498f-ab64-55bae8b6a710,55.53053,-113.82605,9.17876,5.5823,4.01986,-16.05165,2.2503,-0.91403,-2.16623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-10-23,16:28:36.50,3,2,"Cruce, Riley",1000148331,Left,MER_BEA,"Lester, Parker",1000077785,Left,MER_BEA,Undefined,1,Top,1,1,0,ChangeUp,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.9729,0.840693,1.271806,2197.882817,298.392344,4:00,5.59423,-2.19886,4.56252,-56.39936,-6.33591,14.84056,1.69465,0.24847,70.3188,-9.256079,3.87381,0.509251,,,,,,,,,,,,-6.88343,-2.92599,2.05191,50,5.62822,-3.09869,-111.52457,-0.47099,-8.57166,22.16596,-35.81765,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20241023-MercerUniversity-Private-1,647b33b0-917d-11ef-b117-dfd06c225c3a,74.01547,,,6.6541,,,,,,,966f06ce-4947-458e-b1eb-8d1c1ab0c1b5,2024-10-23,20:28:36.50,2024-10-23T16:28:36.5013308-04:00,2024-10-23T20:28:36.5013308Z,,v3,471354,471354,,"Norton, Cade",10057502,Right,MER_BEA,0ee6a9b2-6470-4bff-8945-7496dce23a71,55.94084,-112.69915,11.08298,5.60289,1.427,-17.90883,2.20408,-2.64448,-4.28583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-10-23,16:29:00.84,3,3,"Cruce, Riley",1000148331,Left,MER_BEA,"Lester, Parker",1000077785,Left,MER_BEA,Undefined,1,Top,1,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.74612,0.696691,2.421522,2208.473535,275.902267,3:15,5.65421,-1.9375,5.04525,-47.66022,0.35287,11.56119,2.34034,1.31153,71.21372,-7.934332,4.461796,0.498714,,,,,,,,,,,,-4.99949,0.475,1.6969,50,5.68291,-5.24052,-112.67065,-0.31333,-6.39309,21.47056,-31.56662,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20241023-MercerUniversity-Private-1,7302d640-917d-11ef-b117-dfd06c225c3a,75.57933,,,6.5324,,,,,,,966f06ce-4947-458e-b1eb-8d1c1ab0c1b5,2024-10-23,20:29:00.84,2024-10-23T16:29:00.8418108-04:00,2024-10-23T20:29:00.8418108Z,,v3,471354,471354,,"Norton, Cade",10057502,Right,MER_BEA,abfd79f7-5491-4528-bae6-66a582db5de7,55.45551,-113.7055,10.73528,5.66134,1.20814,-15.78331,1.94206,-4.93238,-3.19655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-10-23,16:29:22.90,3,4,"Cruce, Riley",1000148331,Left,MER_BEA,"Lester, Parker",1000077785,Left,MER_BEA,Undefined,1,Top,1,2,1,TwoSeamFastBall,Changeup,InPlay,Undefined,LineDrive,Out,2,0,,87.72822,-0.759128,2.050661,1953.797824,110.261135,9:45,5.91234,-2.0513,5.15778,-29.30907,8.13504,-18.71954,2.75482,-1.68007,80.04507,-6.136109,-1.264643,0.440416,67.83099,25.324401,4.867301,4637.541018,109.99978,16.69275,-0.01367,147.34412,103.25389,-1.874449,1.999407,9.92603,4.63055,1.87477,50,5.81912,-3.70739,-127.23064,-2.78667,16.21808,26.88824,-24.60823,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20241023-MercerUniversity-Private-1,801fc540-917d-11ef-b117-dfd06c225c3a,85.5837,20.98417,,7.68315,,,,0.05409,1.85257,1.19817,966f06ce-4947-458e-b1eb-8d1c1ab0c1b5,2024-10-23,20:29:22.90,2024-10-23T16:29:22.9023036-04:00,2024-10-23T20:29:22.9023036Z,LineDrive,v3,471354,471354,,"Norton, Cade",10057502,Right,MER_BEA,71760320-0381-4513-9ac4-f32e43160dd5,55.344,-128.35505,13.44412,5.91413,-1.75761,-12.30411,2.04398,-4.38559,8.10904,54.858119,0.05409,89.60035,-9.36594,0.91066,-0.07417,-0.04513,0.02485,-0.00765,0.00095,1.85255,42.55525,-26.00298,3.0909,-0.71969,0.1761,-0.03586,0.00336,0.00017,1.19814,7.63248,-8.57141,2.54381,-0.78493,0.28075,-0.08306,0.01304,-0.00051,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2024-10-23,16:32:58.13,1,1,"Tucker, Benjy",1000077307,Right,MER_BEA,"Ewaldsen, Collin",10091945,Left,MER_BEA,Undefined,1,Bottom,0,0,0,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.77734,-1.292653,-2.373933,2022.472776,225.734147,1:30,5.773,1.81251,6.40527,-20.9795,15.46694,14.663,2.83481,0.85019,79.25998,-5.283947,0.281898,0.434509,,,,,,,,,,,,-8.29315,8.7891,-1.6485,50,5.67052,4.65627,-126.04126,-3.41939,-13.31787,26.03094,-18.0598,MER_BEA,MER_BEA,MercerUniversity,TeamExclusive,Team,20241023-MercerUniversity-Private-1,0068a6e0-917e-11ef-b117-dfd06c225c3a,86.74717,,,7.51736,,,,,,,966f06ce-4947-458e-b1eb-8d1c1ab0c1b5,2024-10-23,20:32:58.13,2024-10-23T16:32:58.1303100-04:00,2024-10-23T20:32:58.1303100Z,,v3,471354,471354,,"Thompson, Zack",1000220619,Right,MER_BEA,4411e44f-489d-4e46-9eb7-afa203bd1fc0,54.09543,-126.88426,13.01547,5.77178,-2.83453,-9.0299,-1.80628,5.08756,-6.65894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
